"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"CLASS"	"OSLO-Proefenmeting"	"ProefSchokindex"	"{160F0D3C-9E21-412d-B456-1BFBF612D6BC}"	""	""	""	""	"proef schokindex"	"Abstracte voor de schokindexproef."	""	"proef schokindex"	"Abstracte voor de schokindexproef."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefBuis"	"{17468210-5362-421d-9D91-C84C89D338BF}"	""	""	""	""	"proef buis"	"Hfst7-"	""	"proef buis"	"Hfst7-"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdensBitumineuzeDunneOverlaging"	"{1E0585F7-F88D-4282-95A7-C2DFF84800FF}"	""	""	""	""	"proef tijdens bitumineuze dunne overlaging"	"Abstracte voor de BV dunne overlagingsproef."	""	"proef tijdens bitumineuze dunne overlaging"	"Abstracte voor de BV dunne overlagingsproef."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefDruksterkte"	"{27CE9BF3-0F49-4489-BEC2-C435DE2FDDD2}"	""	""	""	""	"proef druksterkte"	"Proefresultaten van de drukstrerkte van de laag."	""	"proef druksterkte"	"Proefresultaten van de drukstrerkte van de laag."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdensTKW"	"{2AC8CDD4-9D5D-42df-81BF-E549F2B11243}"	""	""	""	""	"proef tijdens t k w"	"Verzameling van de proeven tijdens de werken voor TKW"	""	"proef tijdens t k w"	"Verzameling van de proeven tijdens de werken voor TKW"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriAndereVerhardingenWalsbeton"	"{2E96D9D2-476A-4c8d-A50B-EC341E8D5D94}"	""	""	""	""	"proef a posteriori andere verhardingen walsbeton"	"Verzameling van de a posteriori proeven voor Andere_verhardingen_walsbeton"	""	"proef a posteriori andere verhardingen walsbeton"	"Verzameling van de a posteriori proeven voor Andere_verhardingen_walsbeton"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriBitumineuzeCementbetonLaag"	"{2F674444-D51C-4edb-85C7-5AC2A4E64370}"	""	""	""	""	"proef a posteriori bitumineuze cementbeton laag"	"Verzameling van de a posteriori proeven voor Bitumineuze en cementbeton verhardingen."	""	"proef a posteriori bitumineuze cementbeton laag"	"Verzameling van de a posteriori proeven voor Bitumineuze en cementbeton verhardingen."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPrioriGetesteBeginconstructie"	"{5F4D5FE3-E96D-4123-BBC0-5F1E163475B6}"	""	""	""	""	"proef a priori geteste beginconstructie"	"Abstracte voor proef GetesteBeginconstructie."	""	"proef a priori geteste beginconstructie"	"Abstracte voor proef GetesteBeginconstructie."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriMarkering"	"{70E4D2B7-BD2E-4c85-8790-664A8E4A4279}"	""	""	""	""	"proef a posteriori markering"	"Verzameling van de a posteriori proeven voor Markeringen"	""	"proef a posteriori markering"	"Verzameling van de a posteriori proeven voor Markeringen"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdesAndereLagen"	"{7DC4A9D7-4B58-4a95-9CBC-B4FB46BCEEC5}"	""	""	""	""	"proef tijdes andere lagen"	"Abstracte _Proef_tijdes_andere_lagen"	""	"proef tijdes andere lagen"	"Abstracte _Proef_tijdes_andere_lagen"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefDraagvermogen"	"{81BBEB51-54F8-4afb-B10D-566FC3F9A611}"	""	""	""	""	"proef draagvermogen"	"Proef die het draagvermogen van de laag bepaald."	""	"proef draagvermogen"	"Proef die het draagvermogen van de laag bepaald."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriAndereLagen"	"{843BCF93-BAA8-464b-ADB3-935A6725F31B}"	""	""	""	""	"proef a posteriori andere lagen"	"Verzameling van de a posteriori proeven voor Andere_lagen"	""	"proef a posteriori andere lagen"	"Verzameling van de a posteriori proeven voor Andere_lagen"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriCementbetonverharding"	"{9109A5BC-9D07-4bf0-BAF4-3ACDFBF05BC3}"	""	""	""	""	"proef a posteriori cementbetonverharding"	"Verzameling van de proeven voor betonverhardingen."	""	"proef a posteriori cementbetonverharding"	"Verzameling van de proeven voor betonverhardingen."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriBitumineuze"	"{94037F19-50E3-49de-B0E2-FCB6A823A89B}"	""	""	""	""	"proef a posteriori bitumineuze"	"Verzameling van de a posteriori proeven voor Bitumineuze verhardingen."	""	"proef a posteriori bitumineuze"	"Verzameling van de a posteriori proeven voor Bitumineuze verhardingen."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
